‎[06.08.24, 08:42:27] Emmanuel: ‎audio omitted
[06.08.24, 14:44:59] Phil: Jo hab ich gestern geholt :)
[06.08.24, 15:23:58] Emmanuel: Ahh geil Danke 🥰🙏
[16.08.24, 20:54:07] Emmanuel: Falls
[16.08.24, 20:54:20] Emmanuel: Galla schick mal Standort
[16.08.24, 21:06:29] Phil: ah shit
[16.08.24, 21:07:05] Phil: Mierendorffstr 12
10589 Berlin
[16.08.24, 21:47:45] Emmanuel: Hey wie heißt die Klingel
[16.08.24, 21:47:47] Emmanuel: Bin unten
[16.08.24, 21:48:13] Phil: Zekl
[16.08.24, 21:51:06] Phil: hinten durch
[16.08.24, 21:51:10] Phil: hinterhaus
[16.08.24, 21:51:13] Phil: drittes stockwer
[22.08.24, 18:09:45] Phil: was geht
[22.08.24, 18:09:52] Phil: bock heute Abend was zu machen?
[22.08.24, 18:10:02] Phil: Hab bisschen Ott da hehe
[22.08.24, 18:25:45] Emmanuel: Wo bist du
[22.08.24, 18:25:47] Emmanuel: Komm Uni
[22.08.24, 18:25:48] Emmanuel: Bro
[24.08.24, 11:23:44] Emmanuel: Hey die Uni hat heute zu
[24.08.24, 11:23:59] Phil: jo hat Rory mir auch gerade gesagt 😂
[24.08.24, 11:24:05] Phil: war schon auf halbem Weg
[24.08.24, 11:24:11] Phil: schon madig
[24.08.24, 11:24:19] Phil: wo sollen wir jetzt coden?
‎[24.08.24, 11:38:07] Emmanuel: ‎audio omitted
‎[24.08.24, 11:38:30] Emmanuel: ‎audio omitted
[26.08.24, 10:21:10] Phil: mach mich auf den Weg
[26.08.24, 10:21:15] Emmanuel: Ok
[26.08.24, 10:21:18] Phil: nur 40 min 🥲
[26.08.24, 10:24:49] Emmanuel: Film
[27.08.24, 19:58:56] Emmanuel: Jo?
[27.08.24, 19:59:09] Phil: was geht
‎[27.08.24, 19:59:37] Emmanuel: ‎image omitted
[27.08.24, 19:59:40] Emmanuel: Uni zocken
[27.08.24, 19:59:42] Emmanuel: Du
[27.08.24, 19:59:50] Phil: ah laber wie geil
[27.08.24, 19:59:59] Phil: Soll ich noch vorbeikommen 🤔
[27.08.24, 20:00:00] Emmanuel: Hey leola hat so ein big bei next bike gefunden
[27.08.24, 20:00:06] Emmanuel: Hast du ein Account
[27.08.24, 20:00:12] Phil: big?
[27.08.24, 20:00:14] Phil: ne
[27.08.24, 20:00:20] Emmanuel: Ne wir Campus schließt in 30 min
[27.08.24, 20:00:27] Phil: schade
‎[27.08.24, 20:00:54] Emmanuel: ‎audio omitted
[27.08.24, 20:01:07] Phil: ah laber
[27.08.24, 20:01:13] Phil: 😂😂😂😂
[27.08.24, 20:01:16] Phil: digga
[27.08.24, 20:01:27] Phil: schick mir auch bitte 🙏
‎[27.08.24, 20:09:10] Emmanuel: ‎audio omitted
‎[27.08.24, 20:09:17] Emmanuel: ‎image omitted
[27.08.24, 20:29:41] Phil: sicher dass der noch geht?
[27.08.24, 20:30:02] Phil: bei mir kommt auch dass der Code ungültig ist
[27.08.24, 20:30:09] Phil: und hab auch nicht mehr Geld aufm Konto
[27.08.24, 20:30:21] Phil: ah laber doch es geht
[27.08.24, 20:30:25] Phil: danke dir 😍😍😍
‎[27.08.24, 20:37:43] Emmanuel: ‎audio omitted
‎[27.08.24, 20:38:01] Emmanuel: ‎audio omitted
